"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Inbetriebnahmedatum der Einheit am aktuellen Standort";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Gemeinde";"Landkreis";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Überwiegende Nutzungsart der Fläche vor Errichtung";"Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung";"Größe der in Anspruch genommenen Fläche in Hektar";"Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung";"Technologie der Stromerzeugung";"Volleinspeisung oder Teileinspeisung";"Art der Solaranlage";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Hauptneigungswinkel der Solar-Module";"Nutzungsbereich des Gebäudes mit Solaranlage";"Name des Solarparks";"Lichte Höhe in Meter";"Name des Windparks";"Wind an Land oder auf See";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"MaStR-Nr. der Speichereinheit";"Speichertechnologie";"Nutzbare Speicherkapazität in kWh";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE991845473268";"E1 Erdmannsweg 1";"In Betrieb";"Wind";"2000";"2000";"8/13/2003";"";"4/30/2020";"Brandenburg";"17337";"Uckerland";"";"";"Nechlin";"Flur 1 Flurstück 573";"12073579";"Uckerland";"Uckermark";"53,449988";"13,900606";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"NE Nechlin";"Windkraft an Land";"114";"70";"ENERCON GmbH";"Enercon E66.20.70/70/2000";"";"";"";"";"12/9/2024";"";"";"ENERTRAG Windfeld Südwestwind GmbH & Co. KG";"ABR922505913190";"SGE973348047542";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL904798587609";"EEG963864470115";"E41860010000000000602128027800015";"8/13/2003";"2000";"";"";"";"";""
"SEE996925805717";"E4 Erdmannsweg 4";"In Betrieb";"Wind";"2000";"2000";"12/31/2010";"";"4/30/2020";"Brandenburg";"17337";"Uckerland";"";"";"Nechlin";"Flur 1 Flurstück 172";"12073579";"Uckerland";"Uckermark";"53,457877";"13,909211";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"NE Nechlin";"Windkraft an Land";"138,3";"82";"ENERCON GmbH";"Enercon E82 E2/82/2000";"";"";"";"";"12/9/2024";"";"";"ENERTRAG SWG Windfeld Nechlin II GmbH & Co. KG";"ABR999414963165";"SGE944999691224";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL904798587609";"EEG961201178694";"E41860010000000000602128027800017";"12/31/2010";"2000";"";"";"";"";""
"SEE961405863198";"M6 Mittelweg 6";"In Betrieb";"Wind";"2000";"2000";"12/9/2010";"";"4/30/2020";"Brandenburg";"17337";"Uckerland";"";"";"Nechlin";"Flur 1 Flurstück 521";"12073579";"Uckerland";"Uckermark";"53,458254";"13,897688";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"NE Nechlin";"Windkraft an Land";"138,3";"82";"ENERCON GmbH";"Enercon E82 E2/82/2000";"";"";"";"";"12/9/2024";"";"";"ENERTRAG SWG Windfeld Nechlin II GmbH & Co. KG";"ABR999414963165";"SGE944999691224";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL904798587609";"EEG981559863653";"E41860010000000000602128027800016";"12/9/2010";"2000";"";"";"";"";""
"SEE958560975736";"W0 Westweg 0";"In Betrieb";"Wind";"7580";"7580";"3/30/2012";"";"4/30/2020";"Brandenburg";"17291";"Schönfeld";"";"";"Neuenfeld";"Flur 1 Flurstück 353";"12073520";"Schönfeld";"Uckermark";"53,42416";"14,037578";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"NF Neuenfeld";"Windkraft an Land";"135";"127";"ENERCON GmbH";"Enercon E126/127/7580";"";"";"";"";"2/4/2025";"";"";"ENERTRAG Windfeld Neuenfeld W0 GmbH & Co. KG";"ABR908911287605";"SGE964180475976";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG954127331366";"E40450010000000000000012603300169";"3/30/2012";"7580";"";"";"";"";""
"SEE960206939361";"T6 Tornow 6";"In Betrieb";"Wind";"2000";"2000";"7/6/2009";"";"5/5/2020";"Brandenburg";"17291";"Göritz";"";"";"Tornow";"Flur 1 Flurstück 376";"12073216";"Göritz";"Uckermark";"53,375244";"13,964708";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"UM Uckermark";"Windkraft an Land";"98";"82";"ENERCON GmbH";"Enercon E82 E2/82/2000";"";"";"";"";"2/26/2025";"";"";"ENERTRAG Windfeld Uckermark T6 GmbH & Co. KG";"ABR930659219020";"SGE983623704190";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG931464851245";"E40450010000000000000082141300137";"7/6/2009";"2000";"";"";"";"";""
"SEE975528106407";"F3 Fuchsberg 3";"In Betrieb";"Wind";"2300";"2300";"4/26/2013";"";"5/6/2020";"Brandenburg";"17291";"Göritz";"";"";"Tornow";"Flur 1 Flurstück 456";"12073216";"Göritz";"Uckermark";"53,383215";"13,97463";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"UM Uckermark";"Windkraft an Land";"138,38";"82";"ENERCON GmbH";"Enercon E82 E2/82/2300";"";"";"";"";"2/4/2025";"";"";"ENERTRAG Windfeld Uckermark F3 GmbH & Co. KG";"ABR900710184543";"SGE961000880118";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG985571951145";"E40450010000000000000082515200180";"4/26/2013";"2300";"";"";"";"";""
"SEE955155193360";"H6 WEA Wittenhof 6";"In Betrieb";"Wind";"2300";"2300";"12/31/2010";"";"5/6/2020";"Brandenburg";"17291";"Prenzlau";"";"";"Dauer";"Flur 1 Flurstück 367";"12073452";"Prenzlau";"Uckermark";"53,38504";"13,952701";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"UM Uckermark";"Windkraft an Land";"138,38";"82";"ENERCON GmbH";"Enercon E82 E2/82/2300";"";"";"";"";"2/4/2025";"";"";"ENERTRAG SWG Windfeld Uckermark GmbH & Co. KG";"ABR989627348484";"SGE903021113721";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG998023436329";"E40450010000000000000082300000151";"12/31/2010";"2300";"";"";"";"";""
"SEE965185365798";"H7 WEA Wittenhof 7";"In Betrieb";"Wind";"2300";"2300";"1/21/2011";"";"5/6/2020";"Brandenburg";"17291";"Prenzlau";"";"";"Dauer";"Flur 1 Flurstück 378";"12073452";"Prenzlau";"Uckermark";"53,380142";"13,958595";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"UM Uckermark";"Windkraft an Land";"138,38";"82";"ENERCON GmbH";"Enercon E82 E2/82/2300";"";"";"";"";"2/4/2025";"";"";"ENERTRAG SWG Windfeld Uckermark GmbH & Co. KG";"ABR989627348484";"SGE903021113721";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG917142448167";"E40450010000000000000082300100152";"1/21/2011";"2300";"";"";"";"";""
"SEE929411060901";"H8 WEA Wittenhof 8";"In Betrieb";"Wind";"2300";"2300";"3/11/2011";"";"5/6/2020";"Brandenburg";"17291";"Prenzlau";"";"";"Dauer";"Flur 1 Flurstück 382";"12073452";"Prenzlau";"Uckermark";"53,375385";"13,957242";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"UM Uckermark";"Windkraft an Land";"138,38";"82";"ENERCON GmbH";"Enercon E82 E2/82/2300";"";"";"";"";"2/4/2025";"";"";"ENERTRAG SWG Windfeld Uckermark GmbH & Co. KG";"ABR989627348484";"SGE903021113721";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG979408598177";"E40450010000000000000082300200154";"3/11/2011";"2300";"";"";"";"";""
"SEE989921940810";"Windkraftanlage Jabel 14197";"In Betrieb";"Wind";"850";"850";"11/27/2001";"";"5/6/2020";"Brandenburg";"16909";"Heiligengrabe";"";"";"Jabel";"Flur 3 Flurstück 40";"12068181";"Heiligengrabe";"Ostprignitz-Ruppin";"53,151381";"12,41951";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Zopf/Heiligengrabe";"Windkraft an Land";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"";"";"11/12/2020";"";"";"natürliche Person (ABR906215821624)";"ABR906215821624";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL974457273594";"EEG918381860956";"E41860010000000000602125845300002";"11/27/2001";"850";"";"";"";"";""
"SEE945633299387";"Windkraftanlage Jabel 14198";"In Betrieb";"Wind";"850";"850";"11/27/2001";"";"5/6/2020";"Brandenburg";"16909";"Heiligengrabe";"";"";"Jabel";"Flur 3 Flurstück 56";"12068181";"Heiligengrabe";"Ostprignitz-Ruppin";"53,154764";"12,420309";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Zopf/Heiligengrabe";"Windkraft an Land";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"";"";"6/25/2025";"";"";"Windenergie Jabel GmbH & Co.KG";"ABR964997086334";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL902310627932";"EEG968942329804";"E41860010000000000602125845300003";"11/27/2001";"850";"";"";"";"";""
"SEE965276712555";"E 78066-01";"In Betrieb";"Wind";"2000";"2000";"11/24/2005";"";"5/7/2020";"Brandenburg";"14913";"Jüterbog";"";"";"Jüterbog";"26 und 35";"12072169";"Jüterbog";"Teltow-Fläming";"51,971736";"13,135382";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Jüterbog";"Windkraft an Land";"98";"71";"ENERCON GmbH";"E-70 E4 2.000";"";"";"";"";"8/16/2024";"";"";"Windpark Jüterbog GmbH & Co. KG Renditefonds";"ABR980483253882";"SGE959501783670";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986803622109";"EEG904440228065";"E41860010000000000602151231500001";"11/24/2005";"2000";"";"";"";"";""
"SEE998700568596";"E 78067-02";"In Betrieb";"Wind";"2000";"2000";"12/6/2005";"";"5/7/2020";"Brandenburg";"14913";"Jüterbog";"";"";"Jüterbog";"26 und 35";"12072169";"Jüterbog";"Teltow-Fläming";"51,969094";"13,132444";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Jüterbog";"Windkraft an Land";"98";"71";"ENERCON GmbH";"E-70 E4 2.000";"";"";"";"";"8/16/2024";"";"";"Windpark Jüterbog GmbH & Co. KG Renditefonds";"ABR980483253882";"SGE959501783670";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986803622109";"EEG925798206178";"E41860010000000000602151231500002";"12/6/2005";"2000";"";"";"";"";""
"SEE966215015560";"E 78068-03";"In Betrieb";"Wind";"2000";"2000";"12/9/2005";"";"5/7/2020";"Brandenburg";"14913";"Jüterbog";"";"";"Jüterbog";"26 und 38";"12072169";"Jüterbog";"Teltow-Fläming";"51,968994";"13,141793";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Jüterbog";"Windkraft an Land";"98";"71";"ENERCON GmbH";"E-70 E4 2.000";"";"";"";"";"8/16/2024";"";"";"Windpark Jüterbog GmbH & Co. KG Renditefonds";"ABR980483253882";"SGE959501783670";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986803622109";"EEG934344346152";"E41860010000000000602151231500003";"12/9/2005";"2000";"";"";"";"";""
"SEE924034432432";"E 78069-04";"In Betrieb";"Wind";"2000";"2000";"12/2/2005";"";"5/7/2020";"Brandenburg";"14913";"Jüterbog";"";"";"Jüterbog";"16 und 38";"12072169";"Jüterbog";"Teltow-Fläming";"51,966856";"13,137606";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Jüterbog";"Windkraft an Land";"98";"71";"ENERCON GmbH";"E-70 E4 2.000";"";"";"";"";"8/16/2024";"";"";"Windpark Jüterbog GmbH & Co. KG Renditefonds";"ABR980483253882";"SGE959501783670";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986803622109";"EEG914449297689";"E41860010000000000602151231500004";"12/2/2005";"2000";"";"";"";"";""
"SEE932265523805";"E 78070-05";"In Betrieb";"Wind";"2000";"2000";"12/2/2005";"";"5/7/2020";"Brandenburg";"14913";"Jüterbog";"";"";"Jüterbog";"26 und 40";"12072169";"Jüterbog";"Teltow-Fläming";"51,967132";"13,130998";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Jüterbog";"Windkraft an Land";"98";"71";"ENERCON GmbH";"E-70 E4 2.000";"";"";"";"";"8/16/2024";"";"";"Windpark Jüterbog GmbH & Co. KG Renditefonds";"ABR980483253882";"SGE959501783670";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986803622109";"EEG947911437177";"E41860010000000000602151231500005";"12/2/2005";"2000";"";"";"";"";""
"SEE912921097857";"E 78071-06";"In Betrieb";"Wind";"2000";"2000";"12/12/2005";"";"5/7/2020";"Brandenburg";"14913";"Jüterbog";"";"";"Jüterbog";"26 und 40";"12072169";"Jüterbog";"Teltow-Fläming";"51,964244";"13,13054";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Jüterbog";"Windkraft an Land";"98";"71";"ENERCON GmbH";"E-70 E4 2.000";"";"";"";"";"8/16/2024";"";"";"Windpark Jüterbog GmbH & Co. KG Renditefonds";"ABR980483253882";"SGE959501783670";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986803622109";"EEG923494548639";"E41860010000000000602151231500006";"12/12/2005";"2000";"";"";"";"";""
"SEE958228962238";"E 78072-07";"In Betrieb";"Wind";"2000";"2000";"12/12/2005";"";"5/7/2020";"Brandenburg";"14913";"Jüterbog";"";"";"Jüterbog";"26 und 47";"12072169";"Jüterbog";"Teltow-Fläming";"51,968547";"13,124419";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Jüterbog";"Windkraft an Land";"98";"71";"ENERCON GmbH";"E-70 E4 2.000";"";"";"";"";"8/16/2024";"";"";"Windpark Jüterbog GmbH & Co. KG Renditefonds";"ABR980483253882";"SGE959501783670";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986803622109";"EEG923469588400";"E41860010000000000602151231500007";"12/12/2005";"2000";"";"";"";"";""
"SEE928673846698";"E 78073-08";"In Betrieb";"Wind";"2000";"2000";"12/14/2005";"";"5/7/2020";"Brandenburg";"14913";"Jüterbog";"";"";"Jüterbog";"26 und 47";"12072169";"Jüterbog";"Teltow-Fläming";"51,966308";"13,123156";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"WP Jüterbog";"Windkraft an Land";"98";"71";"ENERCON GmbH";"E-70 E4 2.000";"";"";"";"";"8/16/2024";"";"";"Windpark Jüterbog GmbH & Co. KG Renditefonds";"ABR980483253882";"SGE959501783670";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL986803622109";"EEG980269105695";"E41860010000000000602151231500008";"12/14/2005";"2000";"";"";"";"";""
"SEE941483759095";"WEA 02";"In Betrieb";"Wind";"5600";"5600";"7/18/2022";"";"8/8/2022";"Brandenburg";"16259";"Beiersdorf-Freudenberg";"";"";"Freudenberg";"Flur 2 und Flurstück 46";"12064053";"Beiersdorf-Freudenberg";"Märkisch-Oderland";"52,706064";"13,85072";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Beiersdorf II";"Windkraft an Land";"166";"150";"Vestas Deutschland GmbH";"V150";"";"";"";"";"1/28/2025";"";"";"Windpark Tiefensee 1 GmbH & Co. KG";"ABR921681302422";"SGE913809970071";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL991487308836";"EEG949237937867";"E4186001S000000000000143361800002";"7/18/2022";"5600";"WIN20-3/054,";"";"";"";""
"SEE946919101660";"WEA 03";"In Betrieb";"Wind";"5600";"5600";"6/30/2022";"";"7/6/2022";"Brandenburg";"16259";"Beiersdorf-Freudenberg";"";"";"Freudenberg";"Flur 2 Flurstück 52";"12064053";"Beiersdorf-Freudenberg";"Märkisch-Oderland";"52,69844";"13,847931";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Beiersdorf II";"Windkraft an Land";"166";"150";"Vestas Deutschland GmbH";"V150";"";"";"";"";"1/30/2025";"";"";"Windpark Tiefensee 1 GmbH & Co. KG";"ABR921681302422";"SGE938777056794";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL991487308836";"EEG924280808524";"E4186001S000000000000143361800001";"6/30/2022";"5600";"WIN20-3/054,";"";"";"";""
"SEE974793098721";"822637";"In Betrieb";"Wind";"2300";"2300";"9/27/2010";"";"5/8/2020";"Brandenburg";"14822";"Schlalach";"";"";"Schlalach";"Flur4:  79";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,159328";"12,825898";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Schlalach";"Windkraft an Land";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"";"";"12/18/2024";"";"";"Windpark GmbH & Co. Schlalach KG";"ABR956205221545";"SGE957708262165";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL923551470491";"EEG961217635860";"E4045001SCHOENEWALDESCHLALA822637";"9/27/2010";"2300";"";"";"";"";""
"SEE967010133879";"822638";"In Betrieb";"Wind";"2300";"2300";"9/13/2010";"";"5/8/2020";"Brandenburg";"14822";"Schlalach";"";"";"Schlalach";"Flur3: 271";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,156538";"12,824792";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Schlalach";"Windkraft an Land";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"";"";"12/18/2024";"";"";"Windpark GmbH & Co. Schlalach KG";"ABR956205221545";"SGE957708262165";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL923551470491";"EEG987562142730";"E4045001SCHOENEWALDESCHLALA822638";"9/13/2010";"2300";"";"";"";"";""
"SEE979938311994";"L1 Lücke 1";"In Betrieb";"Wind";"2500";"2500";"9/20/2016";"";"5/8/2020";"Brandenburg";"17291";"Schönfeld";"";"";"Klockow";"Flur 1 Flurstück 445";"12073520";"Schönfeld";"Uckermark";"53,386549";"13,99697";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"UM Uckermark";"Windkraft an Land";"140";"99,8";"Nordex Energy GmbH";"Nordex N100/99.8/2500";"";"";"";"";"12/10/2024";"";"";"ENERTRAG Windfeld Uckermark XII GmbH & Co. KG";"ABR932228841823";"SGE919069567594";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG905500494062";"E40450010000000000000085007000183";"9/20/2016";"2500";"";"";"";"";""
"SEE922363166257";"822639";"In Betrieb";"Wind";"2300";"2300";"9/14/2010";"";"5/8/2020";"Brandenburg";"14822";"Schlalach";"";"";"Schlalach";"Flur3: 274";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,154243";"12,823705";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Schlalach";"Windkraft an Land";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"";"";"12/18/2024";"";"";"Windpark GmbH & Co. Schlalach KG";"ABR956205221545";"SGE957708262165";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL923551470491";"EEG967602115436";"E4045001SCHOENEWALDESCHLALA822639";"9/14/2010";"2300";"";"";"";"";""
"SEE938056525478";"822640";"In Betrieb";"Wind";"2300";"2300";"12/7/2010";"";"5/8/2020";"Brandenburg";"14822";"Schlalach";"";"";"Schlalach";"Flur3: 283";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,154582";"12,83284";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Schlalach";"Windkraft an Land";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"";"";"12/18/2024";"";"";"Windpark GmbH & Co. Schlalach KG";"ABR956205221545";"SGE957708262165";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL923551470491";"EEG922197447287";"E4045001SCHOENEWALDESCHLALA822640";"12/7/2010";"2300";"";"";"";"";""
"SEE922685533799";"Spreeau 06";"In Betrieb";"Wind";"4200";"4200";"10/27/2021";"";"10/27/2021";"Brandenburg";"15528";"Spreenhagen";"";"";"Hartmannsdorf";"Flur11:53";"12067469";"Spreenhagen";"Oder-Spree";"52,333794";"13,768971";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Trianel Windpark Spreeau";"Windkraft an Land";"169,3";"150";"Vestas Deutschland GmbH";"V150-4,0/4,2MW";"";"";"";"";"9/25/2024";"";"";"Trianel Windpark Spreeau GmbH & Co. KG";"ABR911486332793";"SGE981198284789";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908205414854";"EEG972461379202";"E4186001S000000000000126413500007";"10/27/2021";"4200";"WIN20-3/039,";"";"";"";""
"SEE948215028009";"Spreeau 10";"In Betrieb";"Wind";"4200";"4200";"11/3/2021";"";"11/5/2021";"Brandenburg";"15528";"Spreenhagen";"";"";"Hartmannsdorf";"FLur 12: 146";"12067469";"Spreenhagen";"Oder-Spree";"52,339261";"13,757003";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Trianel Windpark Spreeau";"Windkraft an Land";"169,3";"150";"Vestas Deutschland GmbH";"V15ß-4,0/4,2MW";"";"";"";"";"11/4/2024";"";"";"Trianel Windpark Spreeau GmbH & Co. KG";"ABR911486332793";"SGE981198284789";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908205414854";"EEG984098349732";"E4186001S000000000000126413500008";"11/3/2021";"4200";"WIN20-3/039,";"";"";"";""
"SEE974315000508";"822641";"In Betrieb";"Wind";"2300";"2300";"11/22/2010";"";"5/8/2020";"Brandenburg";"14822";"Schlalach";"";"";"Schlalach";"Flur4: 96 + 98";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,162489";"12,834985";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Schlalach";"Windkraft an Land";"138";"82";"ENERCON GmbH";"E82 E2";"";"";"";"";"12/18/2024";"";"";"Windpark GmbH & Co. Schlalach KG";"ABR956205221545";"SGE957708262165";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL923551470491";"EEG946863606815";"E4045001SCHOENEWALDESCHLALA822641";"11/22/2010";"2300";"";"";"";"";""
"SEE921899595326";"822642";"In Betrieb";"Wind";"2300";"2300";"11/22/2010";"";"5/8/2020";"Brandenburg";"14822";"Schlalach";"";"";"Schlalach";"Flur4: 24";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,159573";"12,838768";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Schlalach";"Windkraft an Land";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"";"";"12/18/2024";"";"";"Windpark GmbH & Co. Schlalach KG";"ABR956205221545";"SGE957708262165";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL923551470491";"EEG969498424302";"E4045001SCHOENEWALDESCHLALA822642";"11/22/2010";"2300";"";"";"";"";""
"SEE964057262067";"822643";"In Betrieb";"Wind";"2300";"2300";"11/29/2010";"";"5/8/2020";"Brandenburg";"14822";"Schlalach";"";"";"Schlalach";"Flur4: 31/1";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,15652";"12,83798";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Schlalach";"Windkraft an Land";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"";"";"12/18/2024";"";"";"Windpark GmbH & Co. Schlalach KG";"ABR956205221545";"SGE957708262165";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL923551470491";"EEG947480812757";"E4045001SCHOENEWALDESCHLALA822643";"11/29/2010";"2300";"";"";"";"";""
"SEE988203412175";"822635";"In Betrieb";"Wind";"2300";"2300";"9/8/2010";"";"5/8/2020";"Brandenburg";"14822";"Schlalach";"";"";"Schlalach";"Flur4: 2/2";"12069402";"Mühlenfließ";"Potsdam-Mittelmark";"52,164841";"12,826419";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Schlalach";"Windkraft an Land";"138";"82";"ENERCON GmbH";"E-82 E2";"";"";"";"";"12/18/2024";"";"";"Windpark GmbH & Co. Schlalach KG";"ABR956205221545";"SGE957708262165";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL923551470491";"EEG966346972213";"E4045001SCHOENEWALDESCHLALA822635";"9/8/2010";"2300";"";"";"";"";""
